author.x	filename.x	author.y	filename.y	same.author	train.set	train.or.test	case.id	answer	author.seen
cdw	1880-cdw-mwotn:1877-cdw-bab:1872-cdw-bs:1881-cdw-cjs	cdw	1874-cdw-batsot	TRUE	TRUE	train	1880-cdw-mwotn:1877-cdw-bab:1872-cdw-bs:1881-cdw-cjs 1874-cdw-batsot	1	TRUE
wta	1896-wta-fye:1868-wta-dtr:1895-wta-ai:1864-wta-waw	wta	1894-wta-its	TRUE	TRUE	train	1896-wta-fye:1868-wta-dtr:1895-wta-ai:1864-wta-waw 1894-wta-its	1	TRUE
wta	1865-wta-tyl:1896-wta-fye:1864-wta-waw:1856-wta-non	cdw	1872-cdw-s	FALSE	TRUE	train	1865-wta-tyl:1896-wta-fye:1864-wta-waw:1856-wta-non 1872-cdw-s	0	TRUE
amd	1914-amd-tgamm:1876-amd-nkk:1870-amd-wfah:1879-amd-hm	wta	1894-wta-its	FALSE	TRUE	train	1914-amd-tgamm:1876-amd-nkk:1870-amd-wfah:1879-amd-hm 1894-wta-its	0	TRUE
tsa	1856-tsa-woc:1856-tsa-fan:1865-tsa-nbm:1856-tsa-twg	tsa	1853-tsa-fpotwol	TRUE	TRUE	train	1856-tsa-woc:1856-tsa-fan:1865-tsa-nbm:1856-tsa-twg 1853-tsa-fpotwol	1	TRUE
mh	1854-mh-a:1870-mh-al:1878-mh-dyb-nf:1873-mh-j	mh	1894-mh-mwws	TRUE	TRUE	train	1854-mh-a:1870-mh-al:1878-mh-dyb-nf:1873-mh-j 1894-mh-mwws	1	TRUE
lma	1889-lma-ll-v3:1884-lma-sws:1876-lma-rib:1880-lma-jaj	wta	1866-wta-haw	FALSE	TRUE	train	1889-lma-ll-v3:1884-lma-sws:1876-lma-rib:1880-lma-jaj 1866-wta-haw	0	TRUE
sw	1868-sw-ditf:1861-sw-tcobh:1864-sw-toh:1856-sw-hots	sw	1866-sw-twwfe	TRUE	TRUE	train	1868-sw-ditf:1861-sw-tcobh:1864-sw-toh:1856-sw-hots 1866-sw-twwfe	1	TRUE
sw	1868-sw-d:1850-sw-www-v2:1879-sw-md:1877-sw-d	sw	1877-sw-pn-?	TRUE	TRUE	train	1868-sw-d:1850-sw-www-v2:1879-sw-md:1877-sw-d 1877-sw-pn-?	1	TRUE
mh	1894-mh-mwws:1896-mh-tsoahh:1870-mh-al:1878-mh-dyb-nf	lma	1879-lma-ajsb	FALSE	TRUE	train	1894-mh-mwws:1896-mh-tsoahh:1870-mh-al:1878-mh-dyb-nf 1879-lma-ajsb	0	TRUE
wdh	1881-wdh-dbp:1895-wdh-mlp:1902-wdh-tfotpb:1890-wdh-abt	rwc	1902-rwc-tmaa	FALSE	TRUE	train	1881-wdh-dbp:1895-wdh-mlp:1902-wdh-tfotpb:1890-wdh-abt 1902-rwc-tmaa	0	TRUE
hm	1903-hm-tgc:1920-hm-tpm:1912-hm-tpoh:1915-hm-tmdm	hm	1905-hm-ham-sh	TRUE	TRUE	train	1903-hm-tgc:1920-hm-tpm:1912-hm-tpoh:1915-hm-tmdm 1905-hm-ham-sh	1	TRUE
mh	1870-mh-al:1875-mh-blat-nf:1899-mh-wgwn:1884-mh-mhcfb-nf	mh	1878-mh-dyb-nf	TRUE	TRUE	train	1870-mh-al:1875-mh-blat-nf:1899-mh-wgwn:1884-mh-mhcfb-nf 1878-mh-dyb-nf	1	TRUE
hm	1905-hm-ham-sh:1912-hm-tpoh:1907-hm-tbm:1914-hm-taok	ga	1919-ga-ta	FALSE	TRUE	train	1905-hm-ham-sh:1912-hm-tpoh:1907-hm-tbm:1914-hm-taok 1919-ga-ta	0	TRUE
sw	1868-sw-d:1868-sw-ditf:1870-sw-wsc:1872-sw-t	tsa	1872-tsa-tyiamt	FALSE	TRUE	train	1868-sw-d:1868-sw-ditf:1870-sw-wsc:1872-sw-t 1872-tsa-tyiamt	0	TRUE
cfw	1880-cfw-rtk:1895-cfw-tfyaois:1882-cfw-a:1873-cfw-tosh	cfw	1895-cfw-daois	TRUE	TRUE	train	1880-cfw-rtk:1895-cfw-tfyaois:1882-cfw-a:1873-cfw-tosh 1895-cfw-daois	1	TRUE
es	1891-es-mm:1909-es-dotr:1888-es-e:1884-es-b	es	1892-es-ip	TRUE	TRUE	train	1891-es-mm:1909-es-dotr:1888-es-e:1884-es-b 1892-es-ip	1	TRUE
