author.x	filename.x	author.y	filename.y	same.author	train.set	train.or.test	case.id	answer	author.seen
es	1919-es-tpc:1884-es-b:1892-es-ip	es	1887-es-mim	TRUE	TRUE	train	1919-es-tpc:1884-es-b:1892-es-ip 1887-es-mim	1	TRUE
hm	1905-hm-tpe:1913-hm-pc:1907-hm-tbm	wta	1868-wta-fof	FALSE	TRUE	train	1905-hm-tpe:1913-hm-pc:1907-hm-tbm 1868-wta-fof	0	TRUE
wdh	1892-wdh-tqom:1893-wdh-tcob:1877-wdh-aca	wdh	1881-wdh-dbp	TRUE	TRUE	train	1892-wdh-tqom:1893-wdh-tcob:1877-wdh-aca 1881-wdh-dbp	1	TRUE
wta	1894-wta-its:1860-wta-lbl:1895-wta-ai	wta	1867-wta-ba	TRUE	TRUE	train	1894-wta-its:1860-wta-lbl:1895-wta-ai 1867-wta-ba	1	TRUE
wta	1866-wta-haw:1876-wta-ltf:1870-wta-pap	wta	1867-wta-saf	TRUE	TRUE	train	1866-wta-haw:1876-wta-ltf:1870-wta-pap 1867-wta-saf	1	TRUE
mt	1897-mt-fte:1909-mt-efcsvth:1876-mt-taots	rwc	1902-rwc-tmaa	FALSE	TRUE	train	1897-mt-fte:1909-mt-efcsvth:1876-mt-taots 1902-rwc-tmaa	0	TRUE
wdh	1899-wdh-arl:1897-wdh-soo:1886-wdh-tmc	cdw	1872-cdw-bs	FALSE	TRUE	train	1899-wdh-arl:1897-wdh-soo:1886-wdh-tmc 1872-cdw-bs	0	TRUE
tsa	1858-tsa-thbnth:1872-tsa-tyiamt:1859-tsa-tacoah	tsa	1851-tsa-wftw	TRUE	TRUE	train	1858-tsa-thbnth:1872-tsa-tyiamt:1859-tsa-tacoah 1851-tsa-wftw	1	TRUE
sw	1877-sw-pn:1881-sw-aloc:1868-sw-ditf	sw	1872-sw-t	TRUE	TRUE	train	1877-sw-pn:1881-sw-aloc:1868-sw-ditf 1872-sw-t	1	TRUE
sw	1876-sw-wh-c:1877-sw-pn:1877-sw-d	sw	1861-sw-tcobh	TRUE	TRUE	train	1876-sw-wh-c:1877-sw-pn:1877-sw-d 1861-sw-tcobh	1	TRUE
tsa	1851-tsa-tlasorl:1868-tsa-aasaos:1856-tsa-woc	ga	1908-ga-tgi	FALSE	TRUE	train	1851-tsa-tlasorl:1868-tsa-aasaos:1856-tsa-woc 1908-ga-tgi	0	TRUE
