author.x	filename.x	author.y	filename.y	same.author	train.set	train.or.test	case.id	answer	author.seen
tsa	1851-tsa-lilfawwrt:1852-tsa-ml:1877-tsa-tsatu:1868-tsa-aasaos:1852-tsa-trowww	tsa	1856-tsa-twg	TRUE	TRUE	train	1851-tsa-lilfawwrt:1852-tsa-ml:1877-tsa-tsatu:1868-tsa-aasaos:1852-tsa-trowww 1856-tsa-twg	1	TRUE
rwc	1915-rwc-wgt:1906-rwc-tfc:1907-rwc-tys:1917-rwc-trs:1916-rwc-tds	rwc	1913-rwc-qa	TRUE	TRUE	train	1915-rwc-wgt:1906-rwc-tfc:1907-rwc-tys:1917-rwc-trs:1916-rwc-tds 1913-rwc-qa	1	TRUE
amd	1904-amd-algic:1903-amd-hbkh:1908-amd-algios:1913-amd-trhcag:1883-amd-fgh	amd	1873-amd-hn	TRUE	TRUE	train	1904-amd-algic:1903-amd-hbkh:1908-amd-algios:1913-amd-trhcag:1883-amd-fgh 1873-amd-hn	1	TRUE
cdw	1874-cdw-batsot:1881-cdw-cjs:1880-cdw-mwotn:1872-cdw-bs:1899-cdw-tf	es	1909-es-dotr	FALSE	TRUE	train	1874-cdw-batsot:1881-cdw-cjs:1880-cdw-mwotn:1872-cdw-bs:1899-cdw-tf 1909-es-dotr	0	TRUE
tsa	1853-tsa-hlas:1856-tsa-woc:1852-tsa-hhalp:1856-tsa-twg:1873-tsa-ca	lma	1884-lma-sws	FALSE	TRUE	train	1853-tsa-hlas:1856-tsa-woc:1852-tsa-hhalp:1856-tsa-twg:1873-tsa-ca 1884-lma-sws	0	TRUE
cdw	1880-cdw-mwotn:1872-cdw-bs:1881-cdw-cjs:1874-cdw-batsot:1872-cdw-s	rwc	1917-rwc-trs	FALSE	TRUE	train	1880-cdw-mwotn:1872-cdw-bs:1881-cdw-cjs:1874-cdw-batsot:1872-cdw-s 1917-rwc-trs	0	TRUE
hm	1907-hm-tbm:1908-hm-tlotm:1905-hm-tpe:1912-hm-tpoh:1915-hm-tvitf	hm	1913-hm-pc	TRUE	TRUE	train	1907-hm-tbm:1908-hm-tlotm:1905-hm-tpe:1912-hm-tpoh:1915-hm-tvitf 1913-hm-pc	1	TRUE
wdh	1873-wdh-aca:1881-wdh-ami:1901-wdh-apopl:1885-wdh-is:1916-wdh-yomy	ga	1906-ga-r	FALSE	TRUE	train	1873-wdh-aca:1881-wdh-ami:1901-wdh-apopl:1885-wdh-is:1916-wdh-yomy 1906-ga-r	0	TRUE
mh	1878-mh-dyb-nf:1863-mh-h-ia:1870-mh-al:1894-mh-mwws:1873-mh-j	mh	1899-mh-wgwn	TRUE	TRUE	train	1878-mh-dyb-nf:1863-mh-h-ia:1870-mh-al:1894-mh-mwws:1873-mh-j 1899-mh-wgwn	1	TRUE
hm	1920-hm-tpm:1909-hm-tgg:1914-hm-taok:1907-hm-tbm:1910-hm-sh	ga	1908-ga-tgi	FALSE	TRUE	train	1920-hm-tpm:1909-hm-tgg:1914-hm-taok:1907-hm-tbm:1910-hm-sh 1908-ga-tgi	0	TRUE
