1876-amd-nkk 1899-wdh-arl	0
1884-wdh-trpsl 1914-amd-tgamm	0
1907-wdh-btdatd 1907-wdh-tteotn	1
1877-wdh-aca 1894-amd-iwrt	0
1896-wdh-tlatlh 1903-amd-hbkh	0
1870-amd-ktw 1871-amd-hd	1
1894-amd-iwrt 1908-amd-algios	1
1874-amd-sd 1909-amd-hgt	1
1870-amd-kar 1896-wdh-tlatlh	0
1879-amd-hm 1912-amd-tcitlorh	1
1897-amd-ha 1902-amd-algiod	1
1866-amd-it 1889-wdh-ahonf-v1	0
1889-wdh-ahonf-v2 1899-amd-thos	0
1870-amd-wfah 1871-amd-hd	1
1877-wdh-aca 1902-amd-algiod	0
1879-amd-hm 1889-amd-amaae	1
1902-amd-algiod 1913-amd-trhcag	1
1879-amd-hm 1908-amd-algios	1
1890-amd-algiop 1907-wdh-tteotn	0
1873-wdh-aca 1884-amd-ootw	0
1907-wdh-tteotn 1909-amd-hgt	0
1900-amd-algiow 1908-amd-algios	1
1884-wdh-trpsl 1913-amd-amc	0
1871-wdh-ss 1908-amd-algios	0
1883-amd-fgh 1887-wdh-ah	0
1873-wdh-aca 1902-amd-algiod	0
1881-wdh-dbp 1884-wdh-trpsl	1
1871-amd-hd 1907-wdh-tteotn	0
1902-amd-algiod 1903-amd-algiosl	1
1903-amd-hbkh 1910-wdh-ii	0
1904-amd-algic 1909-amd-hgt	1
1889-amd-amaae 1900-amd-algiow	1
1897-amd-hpitw 1904-amd-algic	1
1876-amd-nkk 1898-wdh-aoec	0
1908-amd-algios 1913-wdh-fst	0
1898-amd-algiob 1913-wdh-fst	0
1908-amd-algios 1914-amd-tgamm	1
1877-wdh-aca 1879-amd-hm	0
1905-amd-hgaah 1908-amd-algios	1
1899-amd-thos 1904-amd-algic	1
1881-wdh-dbp 1900-amd-algiow	0
1905-amd-algiosf 1909-amd-hgt	1
1897-wdh-soo 1912-amd-tcitlorh	0
1898-wdh-aoec 1909-wdh-sec	1
1889-wdh-ahonf-v1 1897-amd-hpitw	0
1903-amd-hbkh 1908-amd-algios	1
1879-amd-hm 1913-amd-amc	1
1874-amd-sd 1903-amd-hbkh	1
1870-amd-wfah 1902-wdh-tfotpb	0
1881-wdh-dbp 1889-wdh-ahonf-v2	1
1871-wdh-ss 1893-wdh-tcob	1
1898-amd-algiob 1903-wdh-qs	0
1874-amd-towwlias 1890-amd-algiop	1
1867-wdh-vl 1879-amd-hm	0
1874-amd-towwlias 1879-amd-hm	1
1870-amd-wfah 1896-wdh-tlatlh	0
1876-amd-nkk 1913-amd-trhcag	1
1877-amd-fhtm 1899-amd-thos	1
1870-amd-kar 1905-amd-algiosf	1
1887-wdh-ah 1909-amd-hgt	0
1906-amd-ael 1913-amd-trhcag	1
1890-amd-algiop 1909-amd-hgt	1
1887-wdh-ah 1899-amd-thos	0
1893-wdh-tcob 1910-wdh-ii	1
1874-amd-sd 1879-amd-hm	1
1879-wdh-tlofa 1907-amd-hgs	0
1889-wdh-ahonf-v1 1905-amd-algiosf	0
1874-amd-sd 1900-amd-algiow	1
1884-amd-ootw 1906-amd-ael	1
1867-wdh-vl 1889-wdh-ahonf-v1	1
1873-wdh-aca 1910-wdh-ii	1
1909-amd-hgt 1912-amd-tcitlorh	1
1870-amd-wfah 1877-amd-fhtm	1
1871-wdh-ss 1884-amd-ootw	0
1867-wdh-vl 1873-wdh-aca	1
1898-amd-algiob 1901-wdh-apopl	0
1879-amd-hm 1899-amd-thos	1
1894-amd-iwrt 1897-amd-ha	1
1893-wdh-tcob 1902-amd-algiod	0
1866-amd-it 1870-amd-ktw	1
1897-amd-hpitw 1905-amd-algiosf	1
1873-wdh-aca 1890-amd-algiop	0
1879-amd-hm 1884-wdh-trpsl	0
1883-amd-fgh 1910-wdh-ii	0
1893-wdh-tcob 1897-amd-ha	0
1907-amd-hgs 1909-wdh-sec	0
1904-amd-algic 1908-wdh-far	0
1900-amd-algiow 1905-amd-algiosf	1
1870-amd-wfah 1871-wdh-ss	0
1867-wdh-vl 1884-amd-ootw	0
1898-amd-algiob 1905-amd-algiosf	1
1866-amd-it 1908-wdh-rhao	0
1884-amd-ootw 1902-wdh-tfotpb	0
1879-wdh-tlofa 1889-wdh-ahonf-v2	1
1899-wdh-arl 1908-wdh-far	1
1894-amd-iwrt 1907-wdh-btdatd	0
1898-amd-algiob 1910-wdh-ii	0
1871-wdh-ss 1877-amd-fhtm	0
1870-amd-ktw 1889-wdh-ahonf-v2	0
1879-amd-hm 1901-wdh-apopl	0
