author.x	filename.x	author.y	filename.y	same.author	train.set	train.or.test	case.id	answer	author.seen
mh	1894-mh-mwws	mh	1896-mh-tsoahh	TRUE	TRUE	train	1894-mh-mwws 1896-mh-tsoahh	1	TRUE
cfw	1894-cfw-hc	cfw	1873-cfw-tosh	TRUE	TRUE	train	1894-cfw-hc 1873-cfw-tosh	1	TRUE
es	1892-es-ip	es	1891-es-mm	TRUE	TRUE	train	1892-es-ip 1891-es-mm	1	TRUE
es	1884-es-b	es	1909-es-dotr	TRUE	TRUE	train	1884-es-b 1909-es-dotr	1	TRUE
wta	1867-wta-saf	wta	1870-wta-dad	TRUE	TRUE	train	1867-wta-saf 1870-wta-dad	1	TRUE
wdh	1910-wdh-ii	cdw	1872-cdw-bs	FALSE	TRUE	train	1910-wdh-ii 1872-cdw-bs	0	TRUE
sw	1872-sw-t	sw	1852-sw-q	TRUE	TRUE	train	1872-sw-t 1852-sw-q	1	TRUE
mt	1876-mt-taots	cfw	1873-cfw-tosh	FALSE	TRUE	train	1876-mt-taots 1873-cfw-tosh	0	TRUE
rwc	1918-rwc-tmw	mt	1873-mt-tga-c	FALSE	TRUE	train	1918-rwc-tmw 1873-mt-tga-c	0	TRUE
wta	1856-wta-non	rwc	1902-rwc-tmop	FALSE	TRUE	train	1856-wta-non 1902-rwc-tmop	0	TRUE
tsa	1847-tsa-tm-ia	ga	1917-ga-tlp	FALSE	TRUE	train	1847-tsa-tm-ia 1917-ga-tlp	0	TRUE
tsa	1873-tsa-ca	rwc	1918-rwc-tmw	FALSE	TRUE	train	1873-tsa-ca 1918-rwc-tmw	0	TRUE
ew	1918-ew-tm-sh	ew	1916-ew-x-sh	TRUE	TRUE	train	1918-ew-tm-sh 1916-ew-x-sh	1	TRUE
rwc	1918-rwc-tmw	rwc	1915-rwc-wgt	TRUE	TRUE	train	1918-rwc-tmw 1915-rwc-wgt	1	TRUE
es	1888-es-e	es	1909-es-dotr	TRUE	TRUE	train	1888-es-e 1909-es-dotr	1	TRUE
mt	1893-mt-ttopw	cdw	1880-cdw-mwotn	FALSE	TRUE	train	1893-mt-ttopw 1880-cdw-mwotn	0	TRUE
amd	1879-amd-hm	sw	1871-sw-o	FALSE	TRUE	train	1879-amd-hm 1871-sw-o	0	TRUE
es	1909-es-dotr	lma	1887-lma-agfg	FALSE	TRUE	train	1909-es-dotr 1887-lma-agfg	0	TRUE
rwc	1914-rwc-a	rwc	1916-rwc-tds	TRUE	TRUE	train	1914-rwc-a 1916-rwc-tds	1	TRUE
amd	1905-amd-hgaah	amd	1897-amd-hpitw	TRUE	TRUE	train	1905-amd-hgaah 1897-amd-hpitw	1	TRUE
ga	1921-ga-sil	sw	1856-sw-hots	FALSE	TRUE	train	1921-ga-sil 1856-sw-hots	0	TRUE
mt	1891-mt-tac	mt	1880-mt-ata	TRUE	TRUE	train	1891-mt-tac 1880-mt-ata	1	TRUE
ga	1922-ga-sf	ga	1917-ga-tlp	TRUE	TRUE	train	1922-ga-sf 1917-ga-tlp	1	TRUE
lma	1876-lma-rib	hm	1915-hm-tmdm	FALSE	TRUE	train	1876-lma-rib 1915-hm-tmdm	0	TRUE
wta	1871-wta-nl	tsa	1854-tsa-tniabr	FALSE	TRUE	train	1871-wta-nl 1854-tsa-tniabr	0	TRUE
hm	1922-hm-tre-ia	hm	1907-hm-tbm	TRUE	TRUE	train	1922-hm-tre-ia 1907-hm-tbm	1	TRUE
lma	1876-lma-rib	cfw	1880-cfw-rtk	FALSE	TRUE	train	1876-lma-rib 1880-cfw-rtk	0	TRUE
ew	1918-ew-tm-sh	ew	1917-ew-s	TRUE	TRUE	train	1918-ew-tm-sh 1917-ew-s	1	TRUE
wdh	1913-wdh-fst	wdh	1897-wdh-soo	TRUE	TRUE	train	1913-wdh-fst 1897-wdh-soo	1	TRUE
amd	1874-amd-sd	cfw	1895-cfw-tfyaois	FALSE	TRUE	train	1874-amd-sd 1895-cfw-tfyaois	0	TRUE
wta	1896-wta-fye	wta	1871-wta-nl	TRUE	TRUE	train	1896-wta-fye 1871-wta-nl	1	TRUE
mh	1880-mh-lipp-nf	mh	1884-mh-mhcfb-nf	TRUE	TRUE	train	1880-mh-lipp-nf 1884-mh-mhcfb-nf	1	TRUE
wta	1896-wta-fye	cdw	1881-cdw-wi-2	FALSE	TRUE	train	1896-wta-fye 1881-cdw-wi-2	0	TRUE
cdw	1881-cdw-wi-2	cdw	1872-cdw-s	TRUE	TRUE	train	1881-cdw-wi-2 1872-cdw-s	1	TRUE
amd	1890-amd-algiop	cdw	1872-cdw-bs	FALSE	TRUE	train	1890-amd-algiop 1872-cdw-bs	0	TRUE
