year.x	author.x	title.x	filename.x	year.y	author.y	title.y	filename.y	same.author	train.or.test	case.id	answer	author.seen
1870	amd	ktw	1870-amd-ktw	1870	amd	wfah	1870-amd-wfah	TRUE	train	1870-amd-ktw 1870-amd-wfah	1	TRUE
1889	wdh	ahonf-v2	1889-wdh-ahonf-v2	1902	wdh	tk	1902-wdh-tk	TRUE	train	1889-wdh-ahonf-v2 1902-wdh-tk	1	TRUE
1890	wdh	abt	1890-wdh-abt	1894	wdh	atfa	1894-wdh-atfa	TRUE	train	1890-wdh-abt 1894-wdh-atfa	1	TRUE
1870	amd	wfah	1870-amd-wfah	1914	amd	tgamm	1914-amd-tgamm	TRUE	train	1870-amd-wfah 1914-amd-tgamm	1	TRUE
1852	tsa	trowww	1852-tsa-trowww	1853	tsa	hlas	1853-tsa-hlas	TRUE	train	1852-tsa-trowww 1853-tsa-hlas	1	TRUE
1904	amd	algic	1904-amd-algic	1907	amd	hgs	1907-amd-hgs	TRUE	train	1904-amd-algic 1907-amd-hgs	1	TRUE
1873	tsa	ca	1873-tsa-ca	1880	sw	teoac	1880-sw-teoac	FALSE	train	1873-tsa-ca 1880-sw-teoac	0	TRUE
1884	mh	mhcfb-nf	1884-mh-mhcfb-nf	1896	mh	tsoahh	1896-mh-tsoahh	TRUE	train	1884-mh-mhcfb-nf 1896-mh-tsoahh	1	TRUE
1894	mt	tet	1894-mt-tet	1916	ew	x-sh	1916-ew-x-sh	FALSE	train	1894-mt-tet 1916-ew-x-sh	0	TRUE
1852	sw	q	1852-sw-q	1872	sw	t	1872-sw-t	TRUE	train	1852-sw-q 1872-sw-t	1	TRUE
1856	tsa	fan	1856-tsa-fan	1895	wdh	mlp	1895-wdh-mlp	FALSE	train	1856-tsa-fan 1895-wdh-mlp	0	TRUE
1856	wta	non	1856-wta-non	1893	wta	avu	1893-wta-avu	TRUE	train	1856-wta-non 1893-wta-avu	1	TRUE
1877	tsa	tsatu	1877-tsa-tsatu	1897	amd	ha	1897-amd-ha	FALSE	train	1877-tsa-tsatu 1897-amd-ha	0	TRUE
1868	tsa	ats	1868-tsa-ats	1875	tsa	dowithoaf	1875-tsa-dowithoaf	TRUE	train	1868-tsa-ats 1875-tsa-dowithoaf	1	TRUE
1855	tsa	tgtc	1855-tsa-tgtc	1873	tsa	ca	1873-tsa-ca	TRUE	train	1855-tsa-tgtc 1873-tsa-ca	1	TRUE
1852	tsa	trowww	1852-tsa-trowww	1860	tsa	tah	1860-tsa-tah	TRUE	train	1852-tsa-trowww 1860-tsa-tah	1	TRUE
1875	amd	da	1875-amd-da	1901	rwc	c	1901-rwc-c	FALSE	train	1875-amd-da 1901-rwc-c	0	TRUE
1870	amd	wfah	1870-amd-wfah	1903	amd	hbkh	1903-amd-hbkh	TRUE	train	1870-amd-wfah 1903-amd-hbkh	1	TRUE
1866	amd	it	1866-amd-it	1914	amd	tgamm	1914-amd-tgamm	TRUE	train	1866-amd-it 1914-amd-tgamm	1	TRUE
1880	mt	ata	1880-mt-ata	1884	es	b	1884-es-b	FALSE	train	1880-mt-ata 1884-es-b	0	TRUE
1895	cfw	tfyaois	1895-cfw-tfyaois	1917	ew	s	1917-ew-s	FALSE	train	1895-cfw-tfyaois 1917-ew-s	0	TRUE
1873	wdh	aca	1873-wdh-aca	1896	rwc	tmoc	1896-rwc-tmoc	FALSE	train	1873-wdh-aca 1896-rwc-tmoc	0	TRUE
1878	mh	dyb-nf	1878-mh-dyb-nf	1884	mh	mhcfb-nf	1884-mh-mhcfb-nf	TRUE	train	1878-mh-dyb-nf 1884-mh-mhcfb-nf	1	TRUE
1851	tsa	ttw	1851-tsa-ttw	1859	tsa	lg	1859-tsa-lg	TRUE	train	1851-tsa-ttw 1859-tsa-lg	1	TRUE
1851	tsa	wftw	1851-tsa-wftw	1873	tsa	ca	1873-tsa-ca	TRUE	train	1851-tsa-wftw 1873-tsa-ca	1	TRUE
1880	amd	liagc	1880-amd-liagc	1880	mh	csith-nf	1880-mh-csith-nf	FALSE	train	1880-amd-liagc 1880-mh-csith-nf	0	TRUE
1873	amd	hn	1873-amd-hn	1881	amd	awi	1881-amd-awi	TRUE	train	1873-amd-hn 1881-amd-awi	1	TRUE
1852	sw	q	1852-sw-q	1881	amd	awi	1881-amd-awi	FALSE	train	1852-sw-q 1881-amd-awi	0	TRUE
1850	sw	www-v2	1850-sw-www-v2	1897	ga	psaht	1897-ga-psaht	FALSE	train	1850-sw-www-v2 1897-ga-psaht	0	TRUE
1853	tsa	hlas	1853-tsa-hlas	1886	amd	fohh	1886-amd-fohh	FALSE	train	1853-tsa-hlas 1886-amd-fohh	0	TRUE
1876	wta	ltf	1876-wta-ltf	1895	wta	ai	1895-wta-ai	TRUE	train	1876-wta-ltf 1895-wta-ai	1	TRUE
1873	mt	tga-c	1873-mt-tga-c	1907	mt	cfma	1907-mt-cfma	TRUE	train	1873-mt-tga-c 1907-mt-cfma	1	TRUE
1856	tsa	twg	1856-tsa-twg	1876	mt	ototm	1876-mt-ototm	FALSE	train	1856-tsa-twg 1876-mt-ototm	0	TRUE
1912	hm	tpoh	1912-hm-tpoh	1920	hm	tpm	1920-hm-tpm	TRUE	train	1912-hm-tpoh 1920-hm-tpm	1	TRUE
1883	amd	fgh	1883-amd-fgh	1893	amd	itkc	1893-amd-itkc	TRUE	train	1883-amd-fgh 1893-amd-itkc	1	TRUE
1851	tsa	wt	1851-tsa-wt	1854	tsa	tniabr	1854-tsa-tniabr	TRUE	train	1851-tsa-wt 1854-tsa-tniabr	1	TRUE
1902	ga	tc	1902-ga-tc	1905	ga	ttt	1905-ga-ttt	TRUE	train	1902-ga-tc 1905-ga-ttt	1	TRUE
1877	sw	pn-?	1877-sw-pn-?	1883	amd	fgh	1883-amd-fgh	FALSE	train	1877-sw-pn-? 1883-amd-fgh	0	TRUE
1876	amd	nkk	1876-amd-nkk	1900	amd	algiow	1900-amd-algiow	TRUE	train	1876-amd-nkk 1900-amd-algiow	1	TRUE
1875	mh	blat-nf	1875-mh-blat-nf	1912	amd	tcitlorh	1912-amd-tcitlorh	FALSE	train	1875-mh-blat-nf 1912-amd-tcitlorh	0	TRUE
1872	cdw	s	1872-cdw-s	1914	hm	taok	1914-hm-taok	FALSE	train	1872-cdw-s 1914-hm-taok	0	TRUE
1868	wta	fof	1868-wta-fof	1871	wta	nl	1871-wta-nl	TRUE	train	1868-wta-fof 1871-wta-nl	1	TRUE
1856	wta	non	1856-wta-non	1870	wta	pap	1870-wta-pap	TRUE	train	1856-wta-non 1870-wta-pap	1	TRUE
1854	lma	ff	1854-lma-ff	1882	sw	n	1882-sw-n	FALSE	train	1854-lma-ff 1882-sw-n	0	TRUE
1884	wdh	trpsl	1884-wdh-trpsl	1893	wdh	tcob	1893-wdh-tcob	TRUE	train	1884-wdh-trpsl 1893-wdh-tcob	1	TRUE
1902	rwc	tmop	1902-rwc-tmop	1909	mt	efcsvth	1909-mt-efcsvth	FALSE	train	1902-rwc-tmop 1909-mt-efcsvth	0	TRUE
1889	amd	amaae	1889-amd-amaae	1901	amd	algino	1901-amd-algino	TRUE	train	1889-amd-amaae 1901-amd-algino	1	TRUE
1847	tsa	tm-ia	1847-tsa-tm-ia	1881	sw	aloc	1881-sw-aloc	FALSE	train	1847-tsa-tm-ia 1881-sw-aloc	0	TRUE
1905	ga	ttt	1905-ga-ttt	1908	ga	tgi	1908-ga-tgi	TRUE	train	1905-ga-ttt 1908-ga-tgi	1	TRUE
1856	tsa	twg	1856-tsa-twg	1868	tsa	ats	1868-tsa-ats	TRUE	train	1856-tsa-twg 1868-tsa-ats	1	TRUE
1860	sw	sas-c	1860-sw-sas-c	1882	sw	n	1882-sw-n	TRUE	train	1860-sw-sas-c 1882-sw-n	1	TRUE
1870	amd	ktw	1870-amd-ktw	1911	hm	tcfb	1911-hm-tcfb	FALSE	train	1870-amd-ktw 1911-hm-tcfb	0	TRUE
1877	tsa	tsatu	1877-tsa-tsatu	1917	ew	s	1917-ew-s	FALSE	train	1877-tsa-tsatu 1917-ew-s	0	TRUE
1851	tsa	ttw	1851-tsa-ttw	1851	tsa	wftw	1851-tsa-wftw	TRUE	train	1851-tsa-ttw 1851-tsa-wftw	1	TRUE
1900	amd	algiow	1900-amd-algiow	1902	ga	tc	1902-ga-tc	FALSE	train	1900-amd-algiow 1902-ga-tc	0	TRUE
1864	sw	toh-v2	1864-sw-toh-v2	1870	amd	ktw	1870-amd-ktw	FALSE	train	1864-sw-toh-v2 1870-amd-ktw	0	TRUE
1901	rwc	c	1901-rwc-c	1904	rwc	tr	1904-rwc-tr	TRUE	train	1901-rwc-c 1904-rwc-tr	1	TRUE
1850	sw	www	1850-sw-www	1909	wdh	sec	1909-wdh-sec	FALSE	train	1850-sw-www 1909-wdh-sec	0	TRUE
1866	amd	it	1866-amd-it	1909	amd	algiop	1909-amd-algiop	TRUE	train	1866-amd-it 1909-amd-algiop	1	TRUE
1852	sw	q-v2	1852-sw-q-v2	1864	sw	toh-v2	1864-sw-toh-v2	TRUE	train	1852-sw-q-v2 1864-sw-toh-v2	1	TRUE
1864	sw	toh-v2	1864-sw-toh-v2	1868	sw	d	1868-sw-d	TRUE	train	1864-sw-toh-v2 1868-sw-d	1	TRUE
1871	wdh	twj	1871-wdh-twj	1872	sw	t	1872-sw-t	FALSE	train	1871-wdh-twj 1872-sw-t	0	TRUE
1854	mh	a	1854-mh-a	1915	rwc	wgt	1915-rwc-wgt	FALSE	train	1854-mh-a 1915-rwc-wgt	0	TRUE
1876	mt	ototm	1876-mt-ototm	1891	mt	tac	1891-mt-tac	TRUE	train	1876-mt-ototm 1891-mt-tac	1	TRUE
1860	sw	sas-v2-c	1860-sw-sas-v2-c	1864	sw	toh	1864-sw-toh	TRUE	train	1860-sw-sas-v2-c 1864-sw-toh	1	TRUE
1874	cdw	batsot	1874-cdw-batsot	1919	es	tpc	1919-es-tpc	FALSE	train	1874-cdw-batsot 1919-es-tpc	0	TRUE
1887	es	mim	1887-es-mim	1892	es	ip	1892-es-ip	TRUE	train	1887-es-mim 1892-es-ip	1	TRUE
1876	sw	wh-c	1876-sw-wh-c	1887	lma	agfg	1887-lma-agfg	FALSE	train	1876-sw-wh-c 1887-lma-agfg	0	TRUE
1884	mh	mhcfb-nf	1884-mh-mhcfb-nf	1916	ew	x-sh	1916-ew-x-sh	FALSE	train	1884-mh-mhcfb-nf 1916-ew-x-sh	0	TRUE
1893	mt	ttopw	1893-mt-ttopw	1894	mt	tsa	1894-mt-tsa	TRUE	train	1893-mt-ttopw 1894-mt-tsa	1	TRUE
1896	wdh	tlatlh	1896-wdh-tlatlh	1915	wdh	tdots	1915-wdh-tdots	TRUE	train	1896-wdh-tlatlh 1915-wdh-tdots	1	TRUE
1889	wdh	ahonf-v1	1889-wdh-ahonf-v1	1902	wdh	tfotpb	1902-wdh-tfotpb	TRUE	train	1889-wdh-ahonf-v1 1902-wdh-tfotpb	1	TRUE
1905	ga	tbitf	1905-ga-tbitf	1906	ga	r	1906-ga-r	TRUE	train	1905-ga-tbitf 1906-ga-r	1	TRUE
1850	sw	www-v2	1850-sw-www-v2	1870	amd	wfah	1870-amd-wfah	FALSE	train	1850-sw-www-v2 1870-amd-wfah	0	TRUE
1877	wdh	aca	1877-wdh-aca	1916	ga	mb	1916-ga-mb	FALSE	train	1877-wdh-aca 1916-ga-mb	0	TRUE
1901	amd	algino	1901-amd-algino	1913	amd	trhcag	1913-amd-trhcag	TRUE	train	1901-amd-algino 1913-amd-trhcag	1	TRUE
1879	amd	hm	1879-amd-hm	1903	amd	algiosl	1903-amd-algiosl	TRUE	train	1879-amd-hm 1903-amd-algiosl	1	TRUE
1853	tsa	fpotwol	1853-tsa-fpotwol	1855	tsa	tgtc	1855-tsa-tgtc	TRUE	train	1853-tsa-fpotwol 1855-tsa-tgtc	1	TRUE
1852	tsa	trowww	1852-tsa-trowww	1876	amd	nkk	1876-amd-nkk	FALSE	train	1852-tsa-trowww 1876-amd-nkk	0	TRUE
1893	ga	td	1893-ga-td	1917	ga	tlp	1917-ga-tlp	TRUE	train	1893-ga-td 1917-ga-tlp	1	TRUE
1871	amd	hd	1871-amd-hd	1877	amd	fhtm	1877-amd-fhtm	TRUE	train	1871-amd-hd 1877-amd-fhtm	1	TRUE
1871	amd	hd	1871-amd-hd	1875	amd	da	1875-amd-da	TRUE	train	1871-amd-hd 1875-amd-da	1	TRUE
1871	amd	hd	1871-amd-hd	1905	amd	algiosf	1905-amd-algiosf	TRUE	train	1871-amd-hd 1905-amd-algiosf	1	TRUE
1881	sw	aloc	1881-sw-aloc	1909	mh	tsoall-a	1909-mh-tsoall-a	FALSE	train	1881-sw-aloc 1909-mh-tsoall-a	0	TRUE
1870	sw	wsc	1870-sw-wsc	1906	ga	r	1906-ga-r	FALSE	train	1870-sw-wsc 1906-ga-r	0	TRUE
1897	amd	algola	1897-amd-algola	1914	amd	tgamm	1914-amd-tgamm	TRUE	train	1897-amd-algola 1914-amd-tgamm	1	TRUE
1856	wta	non	1856-wta-non	1895	wta	ai	1895-wta-ai	TRUE	train	1856-wta-non 1895-wta-ai	1	TRUE
1852	tsa	hhalp	1852-tsa-hhalp	1871	wta	utb	1871-wta-utb	FALSE	train	1852-tsa-hhalp 1871-wta-utb	0	TRUE
1900	ga	sn	1900-ga-sn	1917	ga	tlp	1917-ga-tlp	TRUE	train	1900-ga-sn 1917-ga-tlp	1	TRUE
1865	wta	tyl	1865-wta-tyl	1870	wta	dad	1870-wta-dad	TRUE	train	1865-wta-tyl 1870-wta-dad	1	TRUE
1856	sw	hots	1856-sw-hots	1864	sw	toh-v2	1864-sw-toh-v2	TRUE	train	1856-sw-hots 1864-sw-toh-v2	1	TRUE
1885	wdh	is	1885-wdh-is	1913	wdh	fst	1913-wdh-fst	TRUE	train	1885-wdh-is 1913-wdh-fst	1	TRUE
1847	tsa	tm-ia	1847-tsa-tm-ia	1860	sw	sas-v2-c	1860-sw-sas-v2-c	FALSE	train	1847-tsa-tm-ia 1860-sw-sas-v2-c	0	TRUE
1874	amd	sd	1874-amd-sd	1875	mh	blat-nf	1875-mh-blat-nf	FALSE	train	1874-amd-sd 1875-mh-blat-nf	0	TRUE
1891	amd	thobh	1891-amd-thobh	1906	amd	ael	1906-amd-ael	TRUE	train	1891-amd-thobh 1906-amd-ael	1	TRUE
1915	rwc	tgp	1915-rwc-tgp	1916	rwc	tds	1916-rwc-tds	TRUE	train	1915-rwc-tgp 1916-rwc-tds	1	TRUE
1851	tsa	tlasorl	1851-tsa-tlasorl	1889	wdh	ahonf-v1	1889-wdh-ahonf-v1	FALSE	train	1851-tsa-tlasorl 1889-wdh-ahonf-v1	0	TRUE
1851	tsa	wt	1851-tsa-wt	1868	tsa	aasaos	1868-tsa-aasaos	TRUE	train	1851-tsa-wt 1868-tsa-aasaos	1	TRUE
1868	amd	sa	1868-amd-sa	1873	amd	hn	1873-amd-hn	TRUE	train	1868-amd-sa 1873-amd-hn	1	TRUE
1868	wta	osb	1868-wta-osb	1870	wta	pap	1870-wta-pap	TRUE	train	1868-wta-osb 1870-wta-pap	1	TRUE
1859	tsa	lg	1859-tsa-lg	1879	lma	ajsb	1879-lma-ajsb	FALSE	train	1859-tsa-lg 1879-lma-ajsb	0	TRUE
1854	tsa	tniabr	1854-tsa-tniabr	1898	amd	algiob	1898-amd-algiob	FALSE	train	1854-tsa-tniabr 1898-amd-algiob	0	TRUE
1883	amd	fgh	1883-amd-fgh	1897	amd	hpitw	1897-amd-hpitw	TRUE	train	1883-amd-fgh 1897-amd-hpitw	1	TRUE
1909	wdh	sec	1909-wdh-sec	1910	wdh	ii	1910-wdh-ii	TRUE	train	1909-wdh-sec 1910-wdh-ii	1	TRUE
1888	ga	wdmc	1888-ga-wdmc	1902	ga	tc	1902-ga-tc	TRUE	train	1888-ga-wdmc 1902-ga-tc	1	TRUE
1907	amd	hgs	1907-amd-hgs	1913	amd	trhcag	1913-amd-trhcag	TRUE	train	1907-amd-hgs 1913-amd-trhcag	1	TRUE
1891	es	mm	1891-es-mm	1913	wdh	fst	1913-wdh-fst	FALSE	train	1891-es-mm 1913-wdh-fst	0	TRUE
